text,time
#货拉拉跳窗身亡女孩搬家视频曝光#【#重走货拉拉跳窗女生搬家路线#货拉拉跳窗身亡女孩搬家视频曝光显示，独自搬家无异常。#医生讲述跳车窗女孩送医时伤情细节#首先，平台有不可推卸的责任其次，司机是否犯罪？还有导航的偏航原因什么！是什么原因导致女孩跳车！这种种原因与责任于货拉拉脱不了关系！等待真相——,21-2-23 12:24
#货拉拉跳窗身亡女孩搬家视频曝光#司机应该是在见到女孩第一眼有了歪心思，通过连续10次自己独自下楼搬家，司机确定了她是一个人，产生了作案动机，司机在偏离路线就是在为自己争取时间。（猜测，女孩受到了司机的威胁，司机没有得逞，而后司机受到了女孩的报警威胁。）,21-2-23 12:24
坐等过程！,21-2-24 10:38
#23岁女生在货拉拉车上跳窗身亡##货拉拉跳窗身亡女孩搬家视频曝光#我最惊险的一次是在邮轮工作的经历，当时到达阿布扎比港口中午休息的时候我下船准备去附近的超市买点生活用品，因为那个时间点人比较少，送我们去的中巴车上来人就走，当时就我一个上去直接就走了，我当时就比较警惕，全程都注意着司机，因为去过一次还算熟悉路，半路上司机突然把自己的眼镜扔在了发动机上，然后准备站起来，我一下就站起来了他用当地话表达的感觉是自己的眼镜掉在那里了他站起来捡但是正常人都看的出来不可能掉在后面我当时就很凶的用英语问他你要干什么停车之类的的话，来来回回说了几句后他有点生气的继续往前走，因为我看到超市了。但是他没有按照上次的路走，我又站起来说了几句，他可能也是不耐烦了赶紧到了超市把我放下来。想起来也是后怕，虽然只要我出事第一时间就能查到，但是坏人怎么会想这些事情呢。所以女生警惕一点敏感一点也没有错。至少能保护自己。但是真的为这个女孩惋惜。因为我也有女孩，自从她出生我就有操不完的心，只因为她是个女孩子。希望社会能给女性更多的关爱。,21-2-23 12:23
#货拉拉跳窗身亡女孩搬家视频曝光#这里面有很多值得认真追究以及探讨的疑点。先说我的感受：女孩子没有大家想象的那么脆弱，相反，大多女性极具个人独立能力以及抗压能力！给我的这种感受主要来源于两个事情。第一个事情，前年费劲九牛二虎之力买房时曾经卧底某瓣买房小组，希望能够从大家的买房经验中获得些许的意见，如何淘到能够承受的北京房子，之所以说“费九牛二虎之力”，是因为对于我们这种普通人，在北京买房太难了，但是卧底之后发现一个惊人的事实，就是群组成员中，大多是年轻单身女孩上线北上广深一线楼市，她们拼尽全力，各种省吃俭用上车！第二个事情，是来源于我身边的整形姑娘，她们大多平凡且坚韧，让我自愧不如，比如说减肥这件事，健身房真的可以坚持好几年，雷打不动，比如说做整形，真的可以几个月节衣缩食，为达一个目标，直到成功！所以当看到新闻里面说姑娘一个人搬家，我觉得太正常了，不是乞讨怜悯或者是博得同情，而恰恰是她自立且强大的表现，强大到一个人搬家，一个人租房，一个人赚钱，一个人生活，那最大的疑点来了，在货车车厢的几分钟时间内，是什么让一个对生活都从不低头的女孩，吓到要跳窗逃走，而且罔顾生命危险！是什么让她惧怕到如此地步？,21-2-23 12:20
甚至可能不是自己跳的…,21-2-23 12:29
独立的女性怎么可能心理素质差，而且头部落地是被推下去的,21-2-23 14:10
我就是那个平凡且坚忍的女孩子,21-2-23 14:28
我觉得如果司机不交代真相的话，这可能会成为一个悬案疑案,21-2-23 16:57
一个人过日子是再正常不过的事情。只是还是提醒女生们，要选在白天中午的时候。宁愿错过饭点，或者请半天假，也别黑灯瞎火劳动。,21-2-23 23:59
极有可能是从车窗口爬出去，落地,21-2-23 17:00
看了魔都囡的分析，很在理，那段路没有灯，旁边又是工厂，女孩子太害怕了,21-2-23 12:29
外地上学，毕业留下，一个人搬家多少次，再正常不过了，有时候想想人有些情况下能活着也是运气，因为当时很多你不认为是危险的事，现在回头看没发生什么真的是幸运。,21-2-26 11:40
平台的设施和监管有隐患，运营车辆失控，不出这件事也很难保证没有别的事。,21-2-23 22:06
当年多次一个人搬家，很正常,21-2-23 12:39
独立的女性怎么可能心理素质差，而且头部落地是被推下去的,21-2-23 14:43
我就是那个平凡且坚忍的女孩子,21-2-23 14:10
我觉得如果司机不交代真相的话，这可能会成为一个悬案疑案,21-2-23 14:28
一个人过日子是再正常不过的事情。只是还是提醒女生们，要选在白天中午的时候。宁愿错过饭点，或者请半天假，也别黑灯瞎火劳动。,21-2-23 16:57
极有可能是从车窗口爬出去，落地,21-2-23 23:59
看了魔都囡的分析，很在理，那段路没有灯，旁边又是工厂，女孩子太害怕了,21-2-23 17:00
其实我还在想一个可能性，就是会不会是车门故障，转弯情况下，车门突然打开，然后由于各种原因导致姑娘被甩出去，头部先着地，发生了这种悲剧,21-2-23 12:29
#货拉拉跳窗身亡女孩搬家视频曝光#唉,21-2-23 12:17
#货拉拉跳窗身亡女孩搬家视频曝光#偏航，还去偏僻的路，这些情况，我是男的，我遇到这情况，心里也担心，司机想搞事情。别提是女生了，恐怕司机说了什么，吓到女生，最后跳窗想博一线生机，却发生了不幸,21-2-23 12:14
我微博发了猜测，你看一下觉得有没有可能,21-2-23 12:29
#货拉拉跳窗身亡女孩搬家视频曝光#货拉拉难辞其咎，需要彻底整顿！还是请有关部门，尽快还原真相给女方一个交代！女孩子一个人出门在外一定要小心！,21-2-23 12:13
#货拉拉跳窗身亡女孩搬家视频曝光#诈骗百亿血汗钱，涉及7万家庭，#凤凰卫视#凤凰金融是法外之地？@人民网@央视新闻@新浪财经#新浪财经发文爆料凤凰金融#@国家反诈中心@澎湃新闻@中国政府网,21-2-23 12:13
#货拉拉跳窗身亡女孩搬家视频曝光#视频里那个司机说换路线是因为这个路线离司机的家近我觉得这个离家近就挺微妙的,21-2-23 12:08
确实这么漂亮的女孩肯定是司机见色起意然后实施抢劫结果女孩为了保全贞洁才不得不出此下策我建议司机立即执行枪毙,21-2-23 12:37
#货拉拉跳窗身亡女孩搬家视频曝光#话说调查司机，司机人都放了，可是他怎么回忆的当时现场情况，这个怎么一直不公布？他也是当事人啊，难道就是坚持自己什么也不知道就行？,21-2-23 12:06
感谢分享，欢迎回访,21-2-23 12:12
#货拉拉跳窗身亡女孩搬家视频曝光#这个还是蛮心痛的,21-2-23 12:05
……这个妹子做了我以前经常想做的事……以前遇到司机偏航总想跳车的……而且司机偏航他们认识路会特别淡定……然后自己就会越想越害怕……,21-2-23 12:55
真的好心疼,21-2-24 09:44
所以说以后出门在外一定要注意安全啊，妹妹🙏,21-2-23 12:18
#货拉拉跳窗身亡女孩搬家视频曝光#可惜了，又是一条生命,21-2-23 12:04
【#货拉拉跳窗身亡女孩搬家视频曝光#前同事：她正处事业上升期】2月21日，长沙23岁女生在货拉拉车上跳窗身亡一事引发关注。女孩家属称，事发时女孩从“天一美庭”小区搬家。监控视频显示，2月6日晚事发前，有一名身穿粉色上衣、浅色牛仔裤的女孩独自搬家，进出约10次。当晚9点13分左右，女孩换上一件蓝色外套，带着宠物狗，最后一次出现在监控画面内。22日，女孩前同事发声，称车莎莎是一个乐观大方的女孩，和同事相处融洽。2020年是她的事业上升期，工资也挺高。#医生讲述跳车窗女孩送医时伤情细节#@燃新闻燃新闻的微博视频,21-2-23 12:00
司机是密切接触者，该他自证清白的，而不是由死者来证明她遇到了什么。,21-2-23 12:31
为规避法律责任承德市中心医院全部120救护车没有监控和行车记录仪，30多年护龄专业护士微博公开：亲历急诊监控视频11辑，曝光三甲医院120急诊7.5小时违规不查体、不救治、不理家属多次呼救、致急性脑梗死患者重度残疾！起诉已经一年八个月！,21-2-23 12:54
"上海华豚集团龙溪路8号保安打人致头伤，眼伤，视力下降，四肢外伤，后蓄意放无狗证大猎犬咬人致手臂多处流血，肌肉缺失，3级损伤!后逃逸，卑劣!和上海长宁虹桥派出所张琪警官联系2个多月，至今还没成功做被狗咬伤伤情鉴定，还没处理狗！请张琪警官尽快给予处罚,带做鉴定!急请各新闻媒体关注报道此事!",21-2-23 12:29
这个司机有重大嫌疑。,21-2-23 14:23
坐车的时候居然没抱着宠物狗🐶？？？,21-2-23 12:17
相信警方，坐等警方公布结果！停止一切猜测，作为旁观的网友闭嘴就是最大的善良！否则你的“合理”猜测都会给他人（包括死者及家属，司机及家属，警方）造成舆论压力！,21-2-23 12:31
有几个可疑，司机三次路线不对，在没有摄像头的地方跳车。为什么会跳窗，不是开车门走。可能门锁住了，司机想对这女性不轨企图。女性觉得跳窗至少还有一线生机，可没想到悲剧了。不然女性还在群里和同事聊天聊得好好的就忽然跳窗。,21-2-23 14:41
#货拉拉跳窗身亡女孩搬家视频曝光#我刚刚在评论区看见有些不会说人话的东西在进行“受害者有罪论”，就对他进行了言语嘲讽，哇哇哇，可不得了，秒删呢可真行，合着不是自己的亲人受害一个个都可作为“受害者有罪论”的法律化身了呢,21-2-23 11:54
每次这种新闻都有这种垃圾看着就气,21-2-24 21:15
#货拉拉跳窗身亡女孩搬家视频曝光#之前有一次坐车回去也是司机走偏辟的地方开一直看手机导航担心他带我去哪我这一直上车都会睡觉的人那一次紧张得没敢睡担心会怎么样手机都准备拨打110了,21-2-23 11:45
#货拉拉跳窗身亡女孩搬家视频曝光#救命，搬家的时候保护好自己吧🙏不可能存在把自己的宠物狗狗丢下，自己一个人跳车的，应该还发生了些什么,21-2-23 11:44
#重走货拉拉遇害女生搬家路线#【新疑点曝光！#货拉拉女孩跳窗时司机疑未刹车#】据封面新闻报道，22日晚，记者到达车莎莎出事的曲苑路时，发现现场警方正用一辆货拉拉货车进行实地勘查。家属透露，他们从警方处了解到，现场没有明显刹车痕迹，车莎莎的叔叔认为，这指向了另一个疑点，车莎莎跳窗时司机为何没做紧急刹车处置？根据记者观察，事故发生地点曲苑路位于一片工业区，为双向两车道，有路灯，两侧种着树还有人行道。路两旁分别是威胜科技园、德邦现代医药物流园、国家金属采矿工程技术研究中心产业基地。#货拉拉跳窗身亡女孩搬家视频曝光#,21-2-23 11:31
#货拉拉跳窗身亡女孩搬家视频曝光#独居好像成了一个高风险的事儿,21-2-23 11:28
#货拉拉跳窗身亡女孩搬家视频曝光#单身女孩独自外出怎么就这么难呢，对这个世界没有一点安全感了，除了公交车以后出租什么的都不敢坐了，人心险恶！,21-2-23 11:16
【#法医分析货拉拉跟车女孩身亡#：跳窗的可能性不大】#法医称货拉拉跟车女孩跳窗可能性不大#货拉拉女乘客身亡，事发半个月后，22日，长沙警方对事发现场进行重新勘查。23日，以涉嫌过失致人死亡罪对司机周某春予以刑事拘留。法医刘良认为，女孩跳窗的可能性不大。(深圳卫视)#交通运输部回应货拉拉事件#深圳卫视_正午30分的微博视频,21-2-25 19:10
那就是被扔出去的？,21-2-25 19:12
那司机更该死了,21-2-25 19:12
最可能的情况:车上发生了什么事（猥亵或者什么永远没有证据了），导致女孩要求停车，司机不理睬，坚决继续驾驶，女孩直接开车门，想跳，司机伸手拉住女孩，女孩往外挣脱，后脑着地。,21-2-25 21:27
从窗户跳下去，怎么可能。从窗户跳下去不是要有个过程吗，司机看到了难道不拉住。,21-2-25 19:14
从车窗上跳出去，这种谎谁相信。,21-2-25 19:21
太冤了！如果你有灵请托梦告诉警察,21-2-25 19:34
被司机推出去的？！,21-2-25 19:13
司机说跳窗的时候就觉得难以理解，漏洞百出。如果说跳车就是符合逻辑了，不管是她觉得她很危险也好，还是司机原因逼迫的结果也好，就应该是跳车，不是跳窗，现在就等警察调查吧。那些攻击受害者家属的，真的是，无聊。,21-2-25 19:33
[吃驚][吃驚][吃驚]那是什么情况,21-2-25 19:43
//@眼镜王蛇_1893:从窗户跳下去，怎么可能。从窗户跳下去不是要有个过程吗，司机看到了难道不拉住。,21-2-25 19:26
家长心碎了一地，关注！,21-2-25 19:41
但是法医为啥自己不去看死者手上有没有打斗痕迹呢……,21-2-25 19:29
没人怀疑过有第三个人在车上吗？,21-2-25 21:30
所以也许不是主动行为，那这里边问题有点细思极恐,21-2-25 20:22
赞同此网友,21-2-25 19:43
[吃驚][吃驚][吃驚]那是什么情况,21-2-25 19:26
//@眼镜王蛇_1893:从窗户跳下去，怎么可能。从窗户跳下去不是要有个过程吗，司机看到了难道不拉住。,21-2-25 19:41
家长心碎了一地，关注！,21-2-25 19:29
但是法医为啥自己不去看死者手上有没有打斗痕迹呢……,21-2-25 21:30
没人怀疑过有第三个人在车上吗？,21-2-25 21:27
最可能的情况:车上发生了什么事（猥亵或者什么永远没有证据了），导致女孩要求停车，司机不理睬，坚决继续驾驶，女孩直接开车门，想跳，司机伸手拉住女孩，女孩往外挣脱，后脑着地。,21-2-25 19:55
跳窗可能性不大，那这个司机一定得严查,21-2-25 21:09
这个法医不是办案法医吧………,21-2-25 21:41
是不是女生知道危险想要让司机停车，两人发生推搡，窗户全开的情况下，被推出去的可能性比较大，要是成立的话，女生应该被推下车前有抓司机的动作，指甲里面有皮肤组织或者衣服组织什么的,21-2-25 20:21
如果是跳窗的话，车门上很可能会留有死者的指纹或者掌纹，如果没有那跳车的可能性几乎没有。,21-2-25 21:33
可以确定的是司机绕路，且路段很黑，司机有可能图谋不轨。甚至有可能在语言上暗示女孩儿，女孩儿因为害怕紧靠车窗一侧，并且威胁司机会跳车等，最终可能是不慎从车上坠落。如果这个假设整理，司机就不是过失致人伤亡，但这个假设又极难取胜。,21-2-25 21:36
司机可能把我们都带偏了，全部去想女孩到底是因为什么跳窗。。干嘛非得跳窗。。。。,21-2-25 20:22
[吃驚][吃驚][吃驚]那是什么情况,21-2-25 21:11
法医能没等警察调查公布案情嘛？！,21-2-25 21:33
我靠司机判个无期吧//@richaners:可能在发生争执过程中，俩人推搡着被司机手脚并用推出去或踢出去了……//@小可的猴呐呐:那就是被扔出去的？,21-2-25 21:38
我也觉得六分钟时间，女孩跳窗，要解安全带、窗户又小，要跳也是脸着地，而不是后脑勺着地。,21-2-25 21:51
当然不是扔，车内距离很小的，男性手臂张开，随便能碰到对面车窗了，力气大的男性随便就能够把一个瘦小的女性推出车窗，只有被突然用力推出车窗，才会造成非常大的后脑损伤//@7000392855_577:开着车怎么扔，车停下来扔又这么摔的死，大活人想扔就扔//@小可的猴呐呐:那就是被扔出去的？,21-2-25 21:15
难道是女孩察觉到了什么，试图脱身，被扔出窗外的?广大网友柯南上线了,21-2-25 19:55
司机可能把我们都带偏了，全部去想女孩到底是因为什么跳窗。。干嘛非得跳窗。。。。,21-2-25 21:31
个人猜测，停车车内不轨这车应该没法锁窗被害人上半身出车外，嫌疑人发车威胁gps有记录就好了希望早日真相,21-2-26 18:18
这是怎么回事？难道是司机推出去的?,21-2-27 10:17
"回复@什么时候能养一只猫cat的表态:怎么一去学校，就猛发wb,",21-3-2 03:15
"回复@喜欢奶茶草莓的姑娘的表态:要天天开心的呦,",21-3-28 21:40
所以被扔下去的吗？艹,21-2-25 21:03
赞同此网友,21-2-25 21:31
前面后面都没有车吗？看下后面车上的行车记录仪啊,21-2-25 21:11
难道是女孩察觉到了什么，试图脱身，被扔出窗外的?广大网友柯南上线了,21-2-25 21:32
等待一个真相,21-2-25 21:34
事发半月才重新侦查,21-2-25 21:36
额，我反而觉得说跳车才更有可能是说谎，因为说谎的人会去思考把谎言编造得更符合正常人逻辑。说跳窗这样不符合逻辑的事情，更容易让人怀疑，说谎是不会说一个让人怀疑的慌的。,21-2-25 21:39
莫非在黑暗路面停车时已经实施犯罪，然后再开走行驶时把女孩推出去？！无论如何可以断定是司机害死的，不是女孩自杀,21-2-25 21:40
这法医明显不是此案件的法医（案件勘查中警方基本不会透露细节）像是深圳卫视请来蹭热度的,21-2-25 21:37
有可能是车门故障，突然仰下去的，司机可能怕担责，撒谎说是主动跳下去的？？,21-2-25 21:31
而且就算是跳车，除非车速超快会死，市区能开多快？受伤是肯定的，但死亡不太可能吧,21-2-25 21:35
到底经历了什么呀,21-2-25 19:46
正义正义正义,21-2-25 19:50
个人猜测，停车车内不轨这车应该没法锁窗被害人上半身出车外，嫌疑人发车威胁gps有记录就好了希望早日真相,21-2-25 19:55
这是怎么回事？难道是司机推出去的?,21-2-26 18:18
"回复@什么时候能养一只猫cat的表态:怎么一去学校，就猛发wb,",21-2-27 10:17
"回复@喜欢奶茶草莓的姑娘的表态:要天天开心的呦,",21-3-2 03:15
所以被扔下去的吗？艹,21-3-28 21:40
刘良好像是秦明的老师来着？好像,21-2-25 21:03
前面后面都没有车吗？看下后面车上的行车记录仪啊,21-2-25 21:07
货拉拉以后也要学滴滴，放监听器录音了。,21-2-25 21:31
可能是想下车动作到半路被司机往后倒摔得？？？,21-2-25 21:20
怎么没见这个司机的说法呢,21-2-25 21:23
不是说已经私下协商解决了么,21-2-25 21:57
哎，真的痛心！！必须严惩凶手啊,21-2-25 22:33
等待一个真相,21-2-25 22:51
事发半月才重新侦查,21-2-25 21:32
额，我反而觉得说跳车才更有可能是说谎，因为说谎的人会去思考把谎言编造得更符合正常人逻辑。说跳窗这样不符合逻辑的事情，更容易让人怀疑，说谎是不会说一个让人怀疑的慌的。,21-2-25 21:34
莫非在黑暗路面停车时已经实施犯罪，然后再开走行驶时把女孩推出去？！无论如何可以断定是司机害死的，不是女孩自杀,21-2-25 21:36
现场没有刹车的痕迹，摔死的女孩儿没有跳窗的可能，那么！她是怎么死的？司机为什么要说谎？！,21-2-25 21:39
猜测:故意杀人，乘坐过程中有违法的事情，怕暴露，杀人灭口,21-2-26 00:53
既然是这样，那就涉嫌故意杀人！,21-2-26 01:58
卧槽！难不成是推出去的,21-2-25 19:55
我觉得是可能是起了争执，司机拿东西打了女孩头部，然后用女孩手机发消息，6分钟后，为了掩盖后脑伤口，高速行驶推她下车，才造成了这么严重的伤,21-2-25 21:36
卧槽好吓人好恐怖啊。。。,21-2-25 21:36
刘良好像是秦明的老师来着？好像,21-2-25 21:36
那这个司机就很恶毒了,21-2-25 21:07
货拉拉以后也要学滴滴，放监听器录音了。,21-2-25 21:36
或许不是6分钟有可能早被控制是别人拿了她的手机,21-2-25 22:51
法网恢恢疏而不漏坦白从宽抗拒从严,21-2-25 21:37
会不会是停下车，把女孩拖出来，抓住对方头猛击地面至头骨裂开呢,21-2-25 21:40
好奇女孩为什么一定要晚上搬家，看她行李都没怎么收拾，还有她是第一次认识这个司机么？,21-2-25 21:40
现场没有刹车的痕迹，摔死的女孩儿没有跳窗的可能，那么！她是怎么死的？司机为什么要说谎？！,21-2-25 22:25
按常理推断，能让一个女孩在车辆行驶途中选择跳窗，说明车内的情况对于女孩来说危险性高，跳窗虽然危险，但也是一种求生心理，这不难理解。,21-2-26 00:53
故意sha人？？？也没多大仇啊,21-2-26 07:20
一定要查明真相,21-2-25 21:09
跳车至少有擦伤,21-2-25 21:14
警察叔叔审细节，拿出审讯的技巧，谎话一定有破绽，能不能问出来真想就看你们了,21-2-25 21:24
卧槽！难不成是推出去的,21-2-25 21:36
司机撒谎了是吧,21-2-25 21:26
那这个司机就很恶毒了,21-2-25 21:36
这司机绝对有问题,21-2-25 21:32
@Olin-I,21-2-25 21:33
为什么不说司机怎么交待的呀,21-2-25 21:33
不是跳窗就有意思了，司机做了啥,21-2-25 21:34
@La_ariposa！,21-2-25 21:34
或许不是6分钟有可能早被控制是别人拿了她的手机,21-2-25 21:37
法网恢恢疏而不漏坦白从宽抗拒从严,21-2-25 21:40
好奇女孩为什么一定要晚上搬家，看她行李都没怎么收拾，还有她是第一次认识这个司机么？,21-2-25 22:25
给受害者打码好评，就应该这样。,21-2-25 21:34
按常理推断，能让一个女孩在车辆行驶途中选择跳窗，说明车内的情况对于女孩来说危险性高，跳窗虽然危险，但也是一种求生心理，这不难理解。,21-2-26 07:20
@一只猫爪子m,21-2-25 21:34
不过是杀人抛尸，说成她跳车死，真能编的,21-2-25 23:38
我想说警方早干什么去了？热搜了就重查了，就又不是跳窗了，为啥出事当时不能负责任点？之前线索会比现在多吧！好好一个小姑娘，凭什么就枉死了啊！,21-2-25 22:15
一群脑残云判案，秀那点少的可怜的智商，笑了,21-2-26 09:19
这位法医不是亲自验尸的？否则手上有没有手伤他不知道？,21-2-25 19:59
车子不发动我一个16648kg的人要从车窗爬出去都不容易，冬天衣服厚，车子还在行驶过程中，正常人怎么爬？,21-2-25 21:09
欺负死人不会说话！,21-2-25 20:00
那就检查一下女孩的体内有没有麻药残留,21-2-25 20:19
被推出去的？,21-2-25 21:06
严审,21-2-25 21:06
【#法医分析货拉拉跟车女孩身亡#：跳窗的可能性不大】#法医称货拉拉跟车女孩跳窗可能性不大#,21-2-25 21:06
想从车窗逃出去但司机不让所以跟司机拉扯的时候掉出去了？,21-2-25 21:06
车窗门是开着的吗,21-2-25 21:08
被女拳害死的，女拳宣扬仇恨，搞两性对立，还说出国男都是潜在强奸犯这种话，是害死女孩的凶手,21-2-25 20:57
这人蹭尼玛的热点呢？还特么加着自己名字，不知道的网友还真以为是这个刘良做的尸检。真正做尸检的法医和警察都确认了，就是自主跳窗,21-2-25 21:15
那司机为啥说跳窗，，，，，，窗户和车门，，，长的很像？,21-2-25 21:23
开始怎么就放了？隔了半个月去侦查现场？？？,21-2-25 21:37
觉得是车门没有关好人给甩出去了，司机怕担责说是跳窗,21-2-25 21:37
唐三破案？也找假人推几遍做实验吧,21-2-25 21:38
怎么感觉女孩早就被控制或者被致死然后故意制造的这个假象来掩盖他杀人的事实有可能不是第一案发现场。,21-2-25 21:59
天哪，又一起反转，之前一直说是跳窗，现在又说可能性不大。可是家属不是已经和平台和解了吗？等后续。,21-2-25 23:36
神探们又开始破案了…,21-2-26 14:17
为啥不审司机，老是让我们猜猜猜？,21-2-26 14:39
女孩从车窗跳出听上去也不符合逻辑，但的确有可能性：女孩对司机变道不满，司机不理会，女孩提出要下车，司机说车在路上不能靠边停车，女孩子害怕受到侵害就跳窗逃跑，这也完全有可能。还一种可能性就是车门真的没锁牢，这种事我自己遇到不止10次，有些车有警报提醒，有些货车是没有车门未锁住提醒的。,21-2-26 15:33
三次偏航太正常了，我经常坐滴滴这些，有一半以上都会偏航，不是拉去荒郊野外而是换一条路走有什么好奇怪的。,21-2-26 15:36
司法层面如果不能有足够证据证实，过失致人死亡罪会有些牵强，法医和公安机关的逻辑推理只能为侦破案件提供线索，但并不能成为定罪的证据。任何猜测都需要客观证据佐证犯罪事实，如果不能佐证应视为无罪,21-2-26 15:39
我觉得二人在推摸中无意中车门开了掉下去的，请专家们在假想一下？,21-2-26 15:40
也许是被害人被弄晕了然后半道醒了又被扔下去了？,21-2-26 16:07
司机肯定是图谋不轨，女孩才遭遇不测！,21-2-26 16:13
现在长沙工资水平真高啊，hr都有20k每个月,21-3-13 11:20
′,21-10-20 17:22
检验一下车窗周围有没有衣服留下的毛屑或者皮肤留下的皮屑，车窗这么小应该会刮到。如果没有的话司机说谎了,21-2-25 21:42
还以为是鉴定结果，就是法医通过现有线索解读,21-2-25 21:42
难道不是第一案发现场之前看到说司机家就在那条路附近,21-2-25 21:42
求求警察好好审这个司机吧,21-2-25 21:44
太可怕了,21-2-25 21:45
也就是司机说谎了他在隐瞒,21-2-25 21:46
这么说司机说谎了那么如果司机没干坏事为啥要说慌？这个案子我觉得没那么简单吧,21-2-25 21:47
跳窗的可能性不大也能被解读成不可能跳窗，果然人都是有倾向性的，啥也不说坐等警方的调查结果。,21-2-25 21:47
那是怎么样的呢？,21-2-25 21:49
那可能是那个司机先发生的冲突，才导致女孩跳窗自杀的,21-2-25 22:51
有可能是司机加价，女孩不同意，争执着要下车。车门本身可能是锁的，但是一瞬间司机开锁，女孩意外滚落？,21-2-25 22:57
这个新闻变得很有意思了，传了那么久现在警方都还不确定是不是跳窗,21-2-25 21:38
没有行车记录仪吗？纯粹疑问,21-2-25 21:37
估计是司机图谋不轨，二人撕扯中女孩情急之下拉开车门甩了出去造成意外...,21-2-25 21:38
要还她一个真相,21-2-25 21:38
女孩一个正常人为什么会死？除了司机还有谁？？？难不成鬼把她杀了？公司为了声誉把司机护着。公司“一条人命而已，怎么会比我的收益重要呢”,21-2-25 21:38
但凡是个正常人都会觉得女孩是非正常死亡，只有男犬潜在罪犯在那拼命地洗，又是说“女孩有被害妄想症，”又是说“这女的是自杀”，还有男犬说司机冤枉……反正给受害者泼脏水就完事了呗！真相到底站在谁那边，会浮现的，目前来看压根也没有朝着男犬洗地的方向发展,21-2-25 21:39
正常逻辑谁无缘无故跳车？？？？脑子都进水了吗？这还能洗？,21-2-25 21:39
希望找到真相不错怪好人，不放过坏人。,21-2-25 21:39
这个法医也很厉害看过他的专访,21-2-25 21:39
怀疑车上还有第三个人,21-2-25 21:39
为什么女孩没有打电话或者发信息是发生了什么突发情况才让她来不及报警车子上真的只有两个人吗？,21-2-25 21:40
一般搬家还会请一个搬运的人，会不会有第三个人？,21-2-25 21:41
司机自己是怎么说的呀，真的是不符合情理。,21-2-25 21:36
可能因为偏航发生了口角被推下去了？,21-2-25 21:36
司机撒谎了,21-2-25 21:36
🙏,21-2-25 21:36
我就说嘛货车车窗这么小怎么可能跳窗,21-2-25 21:36
